date,VPS,SJK Seinäjoki,FC Lahti,HJK,KuPS,RoPS,IFK Mariehamn,FC Honka,FC Ilves,PS Kemi Kings,TPS,Inter Turku,Ekenäs IF,AC Kajaani,FC Haka,HJK Klubi 04,JJK Jyväskylä,FF Jaro,AC Oulu,KPV,KTP,HIFK,Gnistan,TPV Tampere,JIPPO Joensuu,MyPa,Musan Salama,Mikkelin Palloilijat,SJK Seinäjoki Akatemia,PK-35
2018-04-07,1212.5,1187.5,,,,,,,,1212.5,,1187.5,,,,,,,,,,,,,,,,,,
2018-04-08,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-09,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-10,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-11,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-12,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-13,1212.5,1187.5,1212.5,1212.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-14,1200.0,1187.5,1212.5,1224.1021018263725,1200.0,1225.0,1175.8978981736275,1200.0,1187.5,1212.5,1187.5,1187.5,,,,,,,,,,,,,,,,,,
2018-04-15,1200.0,1200.0,1212.0504702906808,1224.1021018263725,1187.0504702906808,1225.0,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-16,1200.0,1200.0,1212.0504702906808,1224.1021018263725,1187.0504702906808,1225.0,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-17,1200.0,1200.0,1212.0504702906808,1224.1021018263725,1187.0504702906808,1225.0,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-18,1200.0,1188.3657544796358,1212.0504702906808,1235.7363473467367,1175.9104103476238,1236.140059943057,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-19,1200.0,1188.3657544796358,1212.0504702906808,1235.7363473467367,1175.9104103476238,1236.140059943057,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-20,1200.0,1188.3657544796358,1212.0504702906808,1235.7363473467367,1175.9104103476238,1236.140059943057,1175.8978981736275,1200.4495297093192,1200.4495297093192,1199.1021018263725,1175.0,1200.8978981736275,,,,,,,,,,,,,,,,,,
2018-04-21,1200.0,1201.3003280288062,1224.133247945324,1221.1049602063842,1190.5417974879763,1236.140059943057,1175.8978981736275,1187.5149561601488,1188.366752054676,1199.1021018263725,1188.4300299355968,1187.4678682380306,,,,,,,,,,,,,,,,,,
2018-04-22,1199.1342455203642,1201.3003280288062,1224.133247945324,1221.1049602063842,1190.5417974879763,1247.3125372980946,1176.7636526532633,1187.5149561601488,1188.366752054676,1187.9296244713348,1188.4300299355968,1187.4678682380306,,,,,,,,,,,,,,,,,,
2018-04-23,1199.1342455203642,1201.3003280288062,1224.133247945324,1221.1049602063842,1190.5417974879763,1247.3125372980946,1176.7636526532633,1187.5149561601488,1188.366752054676,1187.9296244713348,1188.4300299355968,1187.4678682380306,,,,,,,,,,,,,,,,,,
2018-04-24,1199.1342455203642,1201.3003280288062,1224.133247945324,1221.1049602063842,1190.5417974879763,1247.3125372980946,1176.7636526532633,1187.5149561601488,1188.366752054676,1187.9296244713348,1188.4300299355968,1187.4678682380306,,,,,,,,,,,,,,,,,,
2018-04-25,1198.7469777800113,1201.3003280288062,1212.4659548400234,1219.898535545156,1202.5463485759162,1258.9798304033952,1164.7591015653234,1187.5149561601488,1188.7540197950289,1187.9296244713348,1188.4300299355968,1188.674292899259,,,,,,,,,,,,,,,,,,
2018-04-26,1198.7469777800113,1201.3003280288062,1212.4659548400234,1219.898535545156,1202.5463485759162,1258.9798304033952,1164.7591015653234,1187.5149561601488,1188.7540197950289,1187.9296244713348,1188.4300299355968,1188.674292899259,,,,,,,,,,,,,,,,,,
2018-04-27,1198.7469777800113,1201.3003280288062,1212.4659548400234,1219.898535545156,1202.5463485759162,1258.9798304033952,1164.7591015653234,1187.5149561601488,1188.7540197950289,1187.9296244713348,1188.4300299355968,1188.674292899259,,,,,,,,,,,,,,,,,,
2018-04-28,1198.7469777800113,1201.3003280288062,1212.4659548400234,1219.898535545156,1202.5463485759162,1256.4759175243137,1164.7591015653234,1187.5566664974228,1188.7540197950289,1187.9296244713348,1190.9339428146784,1188.632582561985,1212.5,1212.5,1187.5,1187.5,1200.0,1212.5,1187.5,1200.0,1187.5,1212.5,,,,,,,,
